8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.238000	1.398864	1.414395	-0.706673	-0.653349
0.240000	2.700230	1.788798	3.360094	0.481207
0.242000	1.095044	1.981060	-1.656113	1.063817
0.244000	1.474820	1.814096	-0.469314	0.557866
0.246000	1.540647	1.434633	-0.263602	-0.592022
0.248000	1.819150	1.515585	0.606718	-0.346712
0.250000	2.158416	1.505466	1.666926	-0.377376
0.252000	1.672303	1.981060	0.147822	1.063817
0.254000	1.003898	1.900108	-1.940945	0.818508
0.256000	0.917815	1.419454	-2.209953	-0.638017
0.258000	2.041952	1.556061	1.302974	-0.224057
0.260000	1.287464	1.338502	-1.054801	-0.883326
0.262000	2.842013	1.905167	3.803166	0.833839
0.264000	0.988706	1.955762	-1.988417	0.987158
0.266000	1.393801	1.692668	-0.722497	0.189902
0.268000	1.879914	1.505466	0.796606	-0.377376
0.270000	1.454565	1.439692	-0.532610	-0.576690
0.272000	2.487555	1.616775	2.695486	-0.040075
0.274000	1.039343	2.011417	-1.830177	1.155808
0.276000	1.383673	1.854572	-0.754145	0.680521
0.278000	0.978579	1.439692	-2.020065	-0.576690
0.280000	1.849532	1.551002	0.701662	-0.239389
0.282000	1.652048	1.323324	0.084526	-0.929322
0.284000	2.396409	2.041774	2.410654	1.247799
0.286000	1.064662	1.895048	-1.751057	0.803176
0.288000	1.196317	1.601597	-1.339633	-0.086071
0.290000	1.981188	1.571240	1.113086	-0.178062
0.292000	1.545711	1.373919	-0.247778	-0.776004
0.294000	2.958478	1.778679	4.167118	0.450544
0.296000	0.887433	1.970941	-2.304897	1.033153
0.298000	1.682431	1.814096	0.179470	0.557866
0.300000	1.307718	1.485228	-0.991505	-0.438703
0.302000	1.743195	1.490287	0.369358	-0.423371
0.304000	2.077397	1.363800	1.413742	-0.806667
0.306000	1.712813	2.046833	0.274414	1.263131
0.308000	1.140617	1.803977	-1.513697	0.527203
0.310000	1.089980	1.551002	-1.671937	-0.239389
0.312000	1.667239	1.586418	0.131998	-0.132066
0.314000	1.571030	1.272729	-0.168658	-1.082640
0.316000	2.826822	1.895048	3.755694	0.803176
0.318000	0.887433	1.879869	-2.304897	0.757180
0.320000	1.687494	1.768560	0.195294	0.419880
0.322000	1.338100	1.545942	-0.896561	-0.254721
0.324000	1.839405	1.409335	0.670014	-0.668681
0.326000	2.563511	1.515585	2.932846	-0.346712
0.328000	1.125426	1.960822	-1.561169	1.002490
0.330000	1.297591	1.768560	-1.023153	0.419880
0.332000	1.074789	1.530764	-1.719409	-0.300717
0.334000	1.748258	1.520645	0.385182	-0.331380
0.336000	1.611539	1.217074	-0.042066	-1.251291
0.338000	2.507810	1.976000	2.758782	1.048485
0.340000	1.089980	1.809036	-1.671937	0.542535
0.342000	1.657112	1.738203	0.100350	0.327889
0.344000	1.317846	1.571240	-0.959857	-0.178062
0.346000	1.677367	1.313205	0.163646	-0.959986
0.348000	2.735676	1.733144	3.470862	0.312557
0.350000	0.917815	1.905167	-2.209953	0.833839
0.352000	1.479883	1.773620	-0.453490	0.435212
0.354000	0.801350	1.571240	-2.573905	-0.178062
0.356000	1.844468	1.434633	0.685838	-0.592022
0.358000	1.976124	1.323324	1.097262	-0.929322
0.360000	1.976124	1.996238	1.097262	1.109813
0.362000	1.333037	1.778679	-0.912385	0.450544
0.364000	1.464692	1.733144	-0.500962	0.312557
0.366000	1.469756	1.535823	-0.485138	-0.285385
0.368000	1.758386	1.242372	0.416830	-1.174631
